FECHA;IDENTIFICACION;ID_POST;TITULAR;COMENTARIOS;ARCHIVO
12/03/2021;34;posts/3353325988100658;Llegan a España 262.800 nuevas dosis de la #VacunaCOVID19 de #Moderna. Esta semana han llegado a nuestro país 1.348.090 dosis de las 3 vacunas disponibles. Más de 1,5 millones de personas ya cuentan con la pauta completa de vacunación;;20210312-SinProcesar.csv
29/03/2021;35;posts/3398137210286202;Hoy lunes ha comenzado a distribuirse entre las Comunidades Autónomas un total de 1.066.350 dosis de vacuna contra la #COVID19: 672.750 dosis de la vacuna de Pfizer/BioNTech y 393.600 dosis de la vacuna de Moderna;2400;20210329-SinProcesar.csv
07/04/2021;36;posts/3430427753723814;Actualización del informe de actividad de #vacunación en España;156;20210407-SinProcesar.csv
08/04/2021;37;posts/3433805746719348;Más de 3 millones de personas cuentan ya con la pauta completa de vacunación frente a la #COVID19 en nuestro país.;918;20210408a-SinProcesar.csv
08/04/2021;38;posts/3433931343373455;El Ministerio de Sanidad recepciona hoy 328.800 nuevas dosis de la #VacunaCOVID19 de Moderna para su reparto, a partir de mañana, entre las #CCAA. Hoy, récord absoluto de dosis administradas en un solo día: 453.682;2700;20210408b-SinProcesar.csv
08/04/2021;39;posts/3433554586744464;Actualización del informe de actividad de #vacunación en España;247;20210408c-SinProcesar.csv
12/04/2021;40;posts/3444123062354283;Hoy se distribuyen entre las #CCAA más de 1.200.000 nuevas dosis de la vacuna #Pfizer contra el #COVID19 ;3200;20210412-SinProcesar.csv
13/04/2021;41;posts/3447451365354786;Hoy se distribuyen entre las Comunidades y Ciudades Autónomas más de 139.000 nuevas dosis de la vacuna contra la #COVID19 de AstraZeneca;808;20210413-SinProcesar.csv
20/04/2021;42;posts/3468317663268156;Hoy nuestro país alcanza un nuevo hito en el camino hacia la inmunización comunitaria frente a la #COVID19. Ya son más las personas vacunadas con pauta completa que las personas contagiadas. Un total de 3.452.119 personas cuentan ya con las dos dosis de la vacuna;799;20210420a-SinProcesar.csv
20/04/2021;43;posts/3467993429967246;Actualización del informe de actividad de #vacunación en España;271;20210420b-SinProcesar.csv
23/04/2021;44;posts/3476145175818738;Sonia Zúñiga, viróloga: Las vacunas son seguras. Se han desarrollado tan rápido gracias a los medios humanos, técnicos y el conocimiento científico que tenemos;908;20210423-SinProcesar.csv
27/04/2021;45;posts/3488030951296827;Más de 4 millones de personas cuentan ya con la pauta completa de #VacunaCOVID19 en nuestro país;1400;20210427-SinProcesar.csv
