"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"0";"1";"None";"164716453628310_3643734742393113";"seed";"";"";"None";"None";"";"";"";"";""
"1";"2";"1";"3643734742393113_3645140915585829";"data";"data.*";"fetched (200)";"2021-08-04 13:31:00.547994";"Facebook:/<post-id>/comments";"";"2021-06-21T19:05:06+0000";"0";"";""
"1";"3";"1";"3643734742393113_3645143112252276";"data";"data.*";"fetched (200)";"2021-08-04 13:31:00.547994";"Facebook:/<post-id>/comments";"Sólo una pequeña cuestión: con arreglo a lo que estaba planificado, no deberían de haber sido 15 millones en estas fechas... Significa eso que NO vamos a estar en las fechas que se anunciaron de finales de agosto el 70% de la población a vacunar ?";"2021-06-21T19:06:19+0000";"1";"";""
"1";"4";"1";"3643734742393113_3645148042251783";"data";"data.*";"fetched (200)";"2021-08-04 13:31:00.547994";"Facebook:/<post-id>/comments";"";"2021-06-21T19:09:06+0000";"0";"";""
"1";"5";"1";"3643734742393113_3645163278916926";"data";"data.*";"fetched (200)";"2021-08-04 13:31:00.547994";"Facebook:/<post-id>/comments";"Yo estoy esperando para segunda dosis con AstraZeneca me vacuné el 6 de mayo no sé cuándo me toca la segunda dosis.";"2021-06-21T19:17:51+0000";"0";"";""
"1";"6";"1";"3643734742393113_3645168518916402";"data";"data.*";"fetched (200)";"2021-08-04 13:31:00.547994";"Facebook:/<post-id>/comments";"Maria Asuncion Bravo yo tambien , me vacune el 7 de abril, me tocaba el 30 de junio y me mandaron un mensaje que me la suspendian que ya me avisarian. CREO QUE NO TIENEN";"2021-06-21T19:20:32+0000";"1";"";""
"1";"7";"1";"3643734742393113_3645169415582979";"data";"data.*";"fetched (200)";"2021-08-04 13:31:00.547994";"Facebook:/<post-id>/comments";"Solo pueden pasar 12 semanas entre la 1 y la 2";"2021-06-21T19:21:10+0000";"1";"";""
"1";"8";"1";"3643734742393113_3645172975582623";"data";"data.*";"fetched (200)";"2021-08-04 13:31:00.547994";"Facebook:/<post-id>/comments";"Pepa Baldo Martinez Gracias por la información.";"2021-06-21T19:23:02+0000";"0";"";""
"1";"9";"1";"3643734742393113_3645173725582548";"data";"data.*";"fetched (200)";"2021-08-04 13:31:00.547994";"Facebook:/<post-id>/comments";"Soy residante despues 4 anos, tiene 65 anos, y todo no recibo une cita por la vacunación...no sé  porque ?";"2021-06-21T19:23:22+0000";"0";"";""
"1";"10";"1";"3643734742393113_3645174925582428";"data";"data.*";"fetched (200)";"2021-08-04 13:31:00.547994";"Facebook:/<post-id>/comments";"Pepa Baldo Martinez en Zaragoza pusieron Pfizer la segúnda dosis ...parece que es opcional ...";"2021-06-21T19:24:05+0000";"1";"";""
"1";"11";"1";"3643734742393113_3645178152248772";"data";"data.*";"fetched (200)";"2021-08-04 13:31:00.547994";"Facebook:/<post-id>/comments";"Aqui creo que astraceneca, com. Valenciana";"2021-06-21T19:25:50+0000";"0";"";""
"1";"12";"1";"3643734742393113_3645178625582058";"data";"data.*";"fetched (200)";"2021-08-04 13:31:00.547994";"Facebook:/<post-id>/comments";"Por Favor No Sé Olviden de Los Países qué Conquistamos en La Américas. Ahora Sé Encuentran en la Vil Miseria. No vaya a Ser qué Pidan Cuentas del Oro que Sé Sacó Sin Dejar Constancia del Los Montos Extraídos por Cientos de Años. Sólo una Ayuda Memoria, por Si el Caso de ya, No, Recordar.   Es una Verdadera Lastima El Papel de Nuestro Imperio del Pasado, No tenga la Más Remota idea del Cómo Sacar el Provecho Mutuo en Estas Repúblicas qué Seremos De Por Vida Descendientes de Los Reinos de España Nuestra Madre Tierra.  Qué Viva España 🙏✊🙏🇪🇸🙏  Arthur Siegfried Guth Zapata.  @ArthurGuth  ⚜  .  .  .  .";"2021-06-21T19:26:06+0000";"0";"";""
"1";"13";"1";"3643734742393113_3645187265581194";"data";"data.*";"fetched (200)";"2021-08-04 13:31:00.547994";"Facebook:/<post-id>/comments";"Jose Maria Garcia Garcia bueno estamos en 14.5 millones...conseguiremos mañana el 15millones...tampoco hay que ser tan calculador";"2021-06-21T19:31:15+0000";"7";"";""
