"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"0";"1";"None";"164716453628310_3217504281682830";"seed";"";"";"None";"None";"";"";"";"";""
"1";"2";"1";"3217504281682830_3217513708348554";"data";"data.*";"fetched (200)";"2021-08-04 12:08:37.489992";"Facebook:/<post-id>/comments";"Queremos saber cuántos vacunados están ingresando y cuántos han fallecido";"2021-01-19T17:45:34+0000";"18";"";""
"1";"3";"1";"3217504281682830_3217514365015155";"data";"data.*";"fetched (200)";"2021-08-04 12:08:37.489992";"Facebook:/<post-id>/comments";"Luna Azul porque das por hecho que los hay?";"2021-01-19T17:45:56+0000";"10";"";""
"1";"4";"1";"3217504281682830_3217515421681716";"data";"data.*";"fetched (200)";"2021-08-04 12:08:37.489992";"Facebook:/<post-id>/comments";"España es el décimo país del mundo q más vacunas lleva puestas.  https://www.ambito.com/mundo/vacuna/covid-19-el-mapa-seguir-la-cion-el-n5158086 Según vayan llegando en la distribución q hay con cada país se irán poniendo más!!";"2021-01-19T17:46:27+0000";"5";"";""
"1";"5";"1";"3217504281682830_3217516361681622";"data";"data.*";"fetched (200)";"2021-08-04 12:08:37.489992";"Facebook:/<post-id>/comments";"Luna Azul No hay.Yo me vacuné hace 4 días.♥️";"2021-01-19T17:46:51+0000";"8";"";""
"1";"6";"1";"3217504281682830_3217517015014890";"data";"data.*";"fetched (200)";"2021-08-04 12:08:37.489992";"Facebook:/<post-id>/comments";"Lo que nos queda todavía 🤦‍♀️";"2021-01-19T17:47:11+0000";"1";"";""
"1";"7";"1";"3217504281682830_3217517141681544";"data";"data.*";"fetched (200)";"2021-08-04 12:08:37.489992";"Facebook:/<post-id>/comments";"Matilla Veronica pq es una radical q no sabe más q malmeter. Ojalá no se la pongan a ella, no a nadie de su familia!";"2021-01-19T17:47:16+0000";"13";"";""
"1";"8";"1";"3217504281682830_3217523718347553";"data";"data.*";"fetched (200)";"2021-08-04 12:08:37.489992";"Facebook:/<post-id>/comments";"Al final el ritmo es bueno... pero no mandan... tanto q decían que los sanitarios no queríamos trabajar y que porqué nos dieron vacaciones en navidad... ahí lo tenéis!";"2021-01-19T17:50:21+0000";"16";"";""
"1";"9";"1";"3217504281682830_3217524885014103";"data";"data.*";"fetched (200)";"2021-08-04 12:08:37.489992";"Facebook:/<post-id>/comments";"👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍";"2021-01-19T17:50:40+0000";"1";"";""
"1";"10";"1";"3217504281682830_3217525505014041";"data";"data.*";"fetched (200)";"2021-08-04 12:08:37.489992";"Facebook:/<post-id>/comments";"Lentos!!!!!";"2021-01-19T17:51:02+0000";"0";"";""
"1";"11";"1";"3217504281682830_3217527448347180";"data";"data.*";"fetched (200)";"2021-08-04 12:08:37.489992";"Facebook:/<post-id>/comments";"https://youtu.be/YXFGcxz8KwI";"2021-01-19T17:52:00+0000";"0";"";""
"1";"12";"1";"3217504281682830_3217527861680472";"data";"data.*";"fetched (200)";"2021-08-04 12:08:37.489992";"Facebook:/<post-id>/comments";"https://youtu.be/YXFGcxz8KwI";"2021-01-19T17:52:11+0000";"0";"";""
"1";"13";"1";"3217504281682830_3217527938347131";"data";"data.*";"fetched (200)";"2021-08-04 12:08:37.489992";"Facebook:/<post-id>/comments";"Álvaro Sánchez 🙊🙊🙊🙊🙊🐑🐑🐑🐑🐑🐑🐑";"2021-01-19T17:52:14+0000";"0";"";""
"1";"14";"1";"3217504281682830_3217529428346982";"data";"data.*";"fetched (200)";"2021-08-04 12:08:37.489992";"Facebook:/<post-id>/comments";"Si de verdad quisieran acabar con esto en 5 meses estaba el 80% de España inmunizada. Con poner unha media de 20 vacunas por ayuntamiento al dia en Junio tenemos un 80% vacunado. Pero no interesa, no sé porqué 🤷🏽‍♂️";"2021-01-19T17:53:07+0000";"24";"";""
"1";"15";"1";"3217504281682830_3217530298346895";"data";"data.*";"fetched (200)";"2021-08-04 12:08:37.489992";"Facebook:/<post-id>/comments";"Poco a poco.";"2021-01-19T17:53:34+0000";"0";"";""
