"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"0";"1";"None";"164716453628310_3262895337143724";"seed";"";"";"None";"None";"";"";"";"";""
"1";"2";"1";"3262895337143724_3262904387142819";"data";"data.*";"fetched (200)";"2021-08-04 12:19:31.182066";"Facebook:/<post-id>/comments";"#yonomevacuno";"2021-02-06T18:16:25+0000";"5";"";""
"1";"3";"1";"3262895337143724_3262906057142652";"data";"data.*";"fetched (200)";"2021-08-04 12:19:31.182066";"Facebook:/<post-id>/comments";"La cepa astra zeneca a punto de aterrizar ";"2021-02-06T18:17:25+0000";"2";"";""
"1";"4";"1";"3262895337143724_3262912347142023";"data";"data.*";"fetched (200)";"2021-08-04 12:19:31.182066";"Facebook:/<post-id>/comments";"No sabéis ni gestionar vacunas, INUTILES!!!!";"2021-02-06T18:21:30+0000";"11";"";""
"1";"5";"1";"3262895337143724_3262914557141802";"data";"data.*";"fetched (200)";"2021-08-04 12:19:31.182066";"Facebook:/<post-id>/comments";"Esta es por los politicos...";"2021-02-06T18:23:07+0000";"0";"";""
"1";"6";"1";"3262895337143724_3262918393808085";"data";"data.*";"fetched (200)";"2021-08-04 12:19:31.182066";"Facebook:/<post-id>/comments";"Bueno eso es como comprar una barra de pan y no tener nada para echarle. Pero ánimos gobierno hasta el 2030 estaremos vacunados 😭😭😭";"2021-02-06T18:25:37+0000";"1";"";""
"1";"7";"1";"3262895337143724_3262919170474674";"data";"data.*";"fetched (200)";"2021-08-04 12:19:31.182066";"Facebook:/<post-id>/comments";"Very poor delivery when will Spain get the quantity of vaccine it needs to give everyone at least there first dose. The Uk is leading the world ";"2021-02-06T18:26:08+0000";"2";"";""
"1";"8";"1";"3262895337143724_3262919677141290";"data";"data.*";"fetched (200)";"2021-08-04 12:19:31.182066";"Facebook:/<post-id>/comments";"Antonio del Campo  Si estar en un chat de FB para insultarte te calma, perfecto.  Estas en el lugar adecuado, el chat del ministerio de sanidad.  Pero quizás te vendría bien que hablar con un médico, aquí lo más que puedes conseguir es un Community Manager. ";"2021-02-06T18:26:25+0000";"11";"";""
"1";"9";"1";"3262895337143724_3262922233807701";"data";"data.*";"fetched (200)";"2021-08-04 12:19:31.182066";"Facebook:/<post-id>/comments";"Pa 2028 estamos todos vacunados y en la Ruina solo vais a dejar muerte y Ruina";"2021-02-06T18:27:54+0000";"4";"";""
"1";"10";"1";"3262895337143724_3262927750473816";"data";"data.*";"fetched (200)";"2021-08-04 12:19:31.182066";"Facebook:/<post-id>/comments";"Vamos a ver.... si después de las elecciones en Cataluña, empiezan a subir alli los contagios , a ver que se inventan!!!! Os lo digo yo, la culpa será de la cepa Britanica que es más contagiosa.";"2021-02-06T18:31:28+0000";"3";"";""
"1";"11";"1";"3262895337143724_3262935213806403";"data";"data.*";"fetched (200)";"2021-08-04 12:19:31.182066";"Facebook:/<post-id>/comments";"Rosanna Nicoll   Hahahahahaha   UK leading the world? Hahahah  Israel is leading the world, UK is the fourth !  The distance between Israel and UK (45.2 pp) is bigger than the distance between UK and Spain (12.6 pp).  ";"2021-02-06T18:35:59+0000";"3";"";""
"1";"12";"1";"3262895337143724_3262942740472317";"data";"data.*";"fetched (200)";"2021-08-04 12:19:31.182066";"Facebook:/<post-id>/comments";"Antonio del Campo tienes toda la razón, en Madrid la máxima responsable de la vacunacion es una inútil.";"2021-02-06T18:40:37+0000";"8";"";""
"1";"13";"1";"3262895337143724_3262962610470330";"data";"data.*";"fetched (200)";"2021-08-04 12:19:31.182066";"Facebook:/<post-id>/comments";"Yo me vacuno";"2021-02-06T18:53:12+0000";"3";"";""
