"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"0";"1";"None";"164716453628310_3573737502726171";"seed";"";"";"None";"None";"";"";"";"";""
"1";"2";"1";"3573737502726171_3573745496058705";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"Y quienes se van a poner Astra Séneca si ya estáis poniendo las segundas dosis de pfizer ?";"2021-05-26T18:11:56+0000";"1";"";""
"1";"3";"1";"3573737502726171_3573748912725030";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"Queeeeeee estamos todos locos!!!! Los que se ponen Astrazeneca y Janssen no tienen perdón de Dios, si todos se negaran, nos pondrían a todos Pfizer y Moderna 🤬🤬🤬🤬🤬";"2021-05-26T18:13:36+0000";"76";"";""
"1";"4";"1";"3573737502726171_3573750099391578";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"https://www.telemadrid.es/programas/120-minutos/vacunados-curados-Covid-transmitir-sintomas-2-2344585529--20210526024508.html";"2021-05-26T18:14:14+0000";"0";"";""
"1";"5";"1";"3573737502726171_3573764182723503";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"Verónica Andrea entonces los que toman muchos medicamentos como Paracetamol, anticonceptivos etc tampoco lo tienen, porque pueden tener incluso más riesgos que esas vacunas.";"2021-05-26T18:21:10+0000";"16";"";""
"1";"6";"1";"3573737502726171_3573766696056585";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"Amalia PM No es asi, se puede elegir cuál ponerte,y parece ser por lo menos aquí en Lorca mas del 95% están eligiendo Astrazeneca ";"2021-05-26T18:22:27+0000";"2";"";""
"1";"7";"1";"3573737502726171_3573768119389776";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"Porque nos tiene discriminados a los de 60 a 69 años? Porque arriesga más a esta franja de edad que al resto de ciudadanos? Nos castiga? Nos tiene manía? Le hemos hecho algo? Me siento la basura de España solo por haber nacido en 1961 ** NO QUIERO LA ASTRAZENECA **";"2021-05-26T18:23:06+0000";"57";"";""
"1";"8";"1";"3573737502726171_3573771459389442";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"";"2021-05-26T18:24:39+0000";"0";"";""
"1";"9";"1";"3573737502726171_3573772329389355";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"Verónica Andrea pues aquí en Lorca puedes elegir y el 95% está eligiendo Astra Zeneca ";"2021-05-26T18:25:08+0000";"12";"";""
"1";"10";"1";"3573737502726171_3573775512722370";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"Jose Miñarro Paton Ya , en Andalucia también ,pero el grupo de segundas dosis ya se termina";"2021-05-26T18:26:40+0000";"0";"";""
"1";"11";"1";"3573737502726171_3573782056055049";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"Es la mejor";"2021-05-26T18:30:01+0000";"9";"";""
"1";"12";"1";"3573737502726171_3573783149388273";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"Africa Salva ¿¿¿¿???? L@s de esa franja de edad en todas o casi todas las comunidades autónomas ya tienen la primera dosis y a la espera de que pasen 12/13 semanas para la segunda. No entiendo tu queja, excepto que tu comunidad sea de las pocas que faltan. Vacunad@s con Astrazeca. ";"2021-05-26T18:30:39+0000";"4";"";""
"1";"13";"1";"3573737502726171_3573784662721455";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"Os regalo las dos mias, de nada";"2021-05-26T18:31:14+0000";"47";"";""
"1";"14";"1";"3573737502726171_3573787059387882";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"Africa Salva  q raro¡ casi todos ya tienen la primera dosis, ";"2021-05-26T18:32:21+0000";"1";"";""
"1";"15";"1";"3573737502726171_3573788052721116";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"Amalia PM No es así, puedes elegir entre las dos, pero casi tod@s están pidiendo Astrazeca ";"2021-05-26T18:32:53+0000";"1";"";""
"1";"16";"1";"3573737502726171_3573791466054108";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"https://m.facebook.com/story.php?story_fbid=4229243663799597&id=100001420161502";"2021-05-26T18:34:36+0000";"0";"";""
"1";"17";"1";"3573737502726171_3573792506054004";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"A ver si es posible que las gasten todas y a los sesenteros nos dejen poner la pfizer.";"2021-05-26T18:35:03+0000";"17";"";""
"1";"18";"1";"3573737502726171_3573795026053752";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"María Isabel por tenernos que poner la AstraZeneca, te parece poco?";"2021-05-26T18:36:04+0000";"6";"";""
"1";"19";"1";"3573737502726171_3573796386053616";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"Maria Jesus Gra Gutiérrez si, la AstraZeneca. Cual te van a poner a ti?";"2021-05-26T18:36:42+0000";"2";"";""
"1";"20";"1";"3573737502726171_3573799216053333";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"https://ejercitoremanente.com/2021/05/26/nanoparticulas-superparamagneticas-administradas-a-traves-de-vacunas/";"2021-05-26T18:37:48+0000";"2";"";""
"1";"21";"1";"3573737502726171_3573799956053259";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"Jose Miñarro Paton Igual que en todas las comunidades 😊";"2021-05-26T18:38:11+0000";"4";"";""
"1";"22";"1";"3573737502726171_3573804246052830";"data";"data.*";"fetched (200)";"2021-08-04 13:12:53.297526";"Facebook:/<post-id>/comments";"Felisa Ballesta Iglesias ¿Y? 🤔";"2021-05-26T18:40:00+0000";"1";"";""
