"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"0";"1";"None";"164716453628310_3351196564980267";"seed";"";"";"None";"None";"";"";"";"";""
"1";"2";"1";"3351196564980267_3351198348313422";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"https://www.google.com/amp/s/www.eldiadevalladolid.com/amp/noticia/z28ef9ec7-ec8c-d39f-24ec9aba0cab056b/202103/pillan-a-igea-con-un-grupo-de-10-altos-cargos-en-una-terraza";"2021-03-11T13:51:44+0000";"0";"";""
"1";"3";"1";"3351196564980267_3351198854980038";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"https://pubmed.ncbi.nlm.nih.gov/32731056/";"2021-03-11T13:51:56+0000";"2";"";""
"1";"4";"1";"3351196564980267_3351199468313310";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"La quiero.";"2021-03-11T13:52:14+0000";"0";"";""
"1";"5";"1";"3351196564980267_3351199638313293";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"https://www.ejog.org/article/S0301-2115(20)30221-9/fulltext  luz verde para esto también";"2021-03-11T13:52:19+0000";"0";"";""
"1";"6";"1";"3351196564980267_3351199834979940";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"Otra más?🤣🤣🤣🤣";"2021-03-11T13:52:27+0000";"0";"";""
"1";"7";"1";"3351196564980267_3351202068313050";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"A ver si compráis más vacunas";"2021-03-11T13:53:28+0000";"9";"";""
"1";"8";"1";"3351196564980267_3351205304979393";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"Creo que esta vacuna puede ser clave para agilizar la vacunacion al ser una única dosis.  Por si queréis usar un Buscador Covid por Código Postal, información de tu municipio con datos oficiales, últimas restricciones, nuevos casos, tasas, vacunados... www.coronaviruslive.es  Podeis Buscarlo en  Google para instalarlo como APP.";"2021-03-11T13:55:04+0000";"6";"";""
"1";"9";"1";"3351196564980267_3351206681645922";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"EL MAYOR NUREMBERG DE TODOS LOS TIEMPOS SE PREPARA. 18 febrero, 2021 Ayer se preparó un segundo tribunal de Nuremberg, con la creación de una «acción colectiva» bajo la égida de MILES de ABOGADOS DE TODO EL MUNDO de todo el mundo que respaldan al Abogado estadounidense-alemán Reiner Fuellmich, el cual está PROCESANDO A LOS RESPONSABLES DEL ESCÁNDALO del Covid-19 manipulado por el Foro de Davos.  A este respecto, cabe recordar que Reiner Fuellmich es el Abogado que logró condenar al gigante automovilístico Volkswagen en el caso de los catalizadores manipulados.  Y es el mismo Abogado que consiguió condenar al Deutsche Bank como empresa criminal. Según Reiner Fuellmich, todos los fraudes cometidos por las empresas alemanas son irrisorios en comparación con los daños que ha causado y sigue causando la crisis del Covid-19.  Esta crisis debería rebautizarse como el «ESCÁNDALO DEL Covid-19» y TODOS LOS RESPONSABLES DEBERÍAN SER PROCESADOS POR DAÑOS CIVILES debido a la MANIPULACIÓN y FALSIFICACIÓN de los protocolos de ensayo.  Por lo tanto, una RED INTERNACIONAL DE ABOGADOS de negocios alegará EL MAYOR CASO DE AGRAVIO DE TODOS LOS TIEMPOS, el ESCÁNDALO DE FRAUDE Covid-19, que mientras tanto se ha convertido en el MAYOR CRIMEN CONTRA LA HUMANIDAD JAMÁS COMETIDO.   Por iniciativa de un grupo de abogados alemanes se ha creado una comisión de investigación Covid-19 con el objetivo de interponer una DEMANDA COLECTIVA INTERNACIONAL  utilizando el DERECHO anglosajón. Esta es la traducción resumida de la última comunicación del Dr. Fuellmich del 15/02/2021 Continuar leyendo: https://trikooba.com/2021/02/18/el-mayor-nuremberg-de-todos-los-tiempos-se-prepara/";"2021-03-11T13:55:39+0000";"0";"";""
"1";"10";"1";"3351196564980267_3351207574979166";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"La semana que viene llegarán 100.000? Menos?? Acabaremos con diez marcas y en verano no llegamos ni a la mitad de gente vacunada";"2021-03-11T13:56:00+0000";"10";"";""
"1";"11";"1";"3351196564980267_3351208434979080";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"Astra zeneca es mala causa trombos graves ";"2021-03-11T13:56:20+0000";"9";"";""
"1";"12";"1";"3351196564980267_3351208584979065";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"TERREMOTO CIENTÍFICO: DEREK KNAUSS CONCLUYE QUE «NO HE SIDO CAPAZ DE ENCONTRAR PRUEBAS DE COVID-19 EN MÁS DE 1500 MUESTRAS DE SUPUESTOS PACIENTES POSITIVOS» POR ADORACIÓN Y LIBERACIÓN el 02/03/2021 • ( 0 ). EL VIRÓLOGO E INMUNOLOGO ESTADOUNIDENSE ADVIRTIÓ HACE POCO MENOS DE UN MES QUE NO HA SIDO CAPAZ DE ENCONTRAR PRUEBAS DE COVID-19 EN MÁS DE 1500 MUESTRAS DE SUPUESTOS PACIENTES POSITIVOS Y QUE, AL PEDIRLE UNA MUESTRA VIABLE DEL GENOMA AISLADO Y PURIFICADO AL CDC, ESTE NO PUDO MANDARLE NINGUNA MUESTRA DEL SUPUESTO SARS-COV-2: LE DIJERON QUE NO TIENEN NINGUNA MUESTRA DEL GENOMA DEL VIRUS AISLADO NI PURIFICADO. Atentos a la declaración del virólogo e inmunólogo estadounidense Derek Knauss: «Tengo un doctorado en virología e inmunología. Soy un científico de laboratorio clínico y he analizado 1500 muestras de COVID-19″supuestamente positivas recogidas aquí en el sur de California. Cuando mi equipo de laboratorio y yo hicimos las pruebas a través de los postulados de Koch y la observación bajo un SEM (microscopio electrónico de barrido), no encontramos COVID-19 en ninguna de las 1500 muestras«. Así de simple y claro lo explica el científico. «Lo que encontramos fue que todas las muestras eran en su mayoría influenza A y algunas eran influenza B, es decir gripe común, pero ni un solo caso de COVID-19. Luego enviamos el resto de las muestras a la universidad de Stanford, Cornell y algunos de los laboratorios de la Universidad de California y encontraron los mismos resultados que nosotros, TODAS LAS MUESTRAS SIN COVID. Encontraron influenza A y B. Luego contactamos con los CDC (Centro de Control de Enfermedades) y les pedimos muestras viables de COVID-19. Los CDC nos dijeron que NO podían proporcionar porque NO TENÍAN NINGUNA MUESTRA. Ahora hemos llegado a la firme y única conclusión posible, a través de toda nuestra investigación y trabajo de laboratorio: que el COVID-19 era imaginario y ficticio«. Esta es la contundente conclusión a la que ha llegado el equipo del científico norteamericano. El doctor explica que la gripe se llamaba COVID-19 y la mayoría de los 225.000 muertos murieron por patologías previas como enfermedades cardíacas, cáncer, diabetes, enfisema, etc. y luego contrajeron la gripe, llamada COVID-19, que debilitó aún más su sistema inmunológico y murieron. Afirma que todavía está esperando encontrar una sola muestra viable del genoma del COVID-19 con la que poder trabajar. Es más, apunta: «Las 7 universidades que hicimos las pruebas de laboratorio en estas 1500 muestras, estamos demandando a los CDC por fraude de COVID-19. El CDC aún tiene que enviarnos una sola muestra viable, aislada y purificada de COVID-19. Si no pueden o no quieren enviarnos una muestra viable, digo que es porque NO HAY COVID-19 como tal, es ficticio. Los cuatro artículos de investigación que describen los extractos genómicos del virus COVID-19 NUNCA LOGRARON AISLAR Y PURIFICAR LAS MUESTRAS. Los cuatro artículos escritos de COVID-19 solo describen pequeños fragmentos de ARN que tenían solo 37 a 40 pares de bases de largo, lo que NO ES UN VIRUS. Un genoma viral es típicamente de 30.000 a 40.000 pares de bases» Con lo malo que se supone que es COVID-19 por todas partes, ¿cómo es que nadie en ningún laboratorio del mundo ha aislado y purificado este virus en su totalidad? Knauss lo tiene claro: «porque nunca encontraron realmente el virus, todo lo que encontraron fueron pequeños fragmentos de ARN que de todos modos nunca fueron identificados como el virus» El científico finaliza su disertación con la siguiente reflexión: «Entonces, con lo que estamos lidiando es con otra cepa de gripe como cada año, muy probablemente agravada por la implantación de la red 5G que, conjuntamente con algunos componentes de las vacunas, provoca coágulos, trombosis y tormenta de citoquinas. COVID-19 no existe y es ficticio. Creo que China y los globalistas orquestaron este engaño de COVID-19 (la gripe disfrazada de un virus nuevo) para traer la tiranía global y un estado de vigilancia policial totalitario a nivel mundial, y este complot incluyó un fraude electoral masivo para derrocar a Donald Trump.» Más claro no lo puede decir. No lo decimos nosotros. Lo dicen científicos independientes. https://adoracionyliberacion.com/2021/03/02/terremoto-cientifico-derek-knauss-concluye-que-no-he-sido-capaz-de-encontrar-pruebas-de-covid-19-en-mas-de-1500-muestras-de-supuestos-pacientes-positivos/?fbclid=IwAR28dCbrd5h0AyZl5gU7Ku6HBw8FtxvQxxwG1Be9pKCSHI2ctDOx8gtEqLA ";"2021-03-11T13:56:22+0000";"0";"";""
"1";"13";"1";"3351196564980267_3351213881645202";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"Miguel Roque García Jiménez que listo y lo que sabéis!!!";"2021-03-11T13:58:40+0000";"5";"";""
"1";"14";"1";"3351196564980267_3351215764978347";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"Da igual las vacunas que autoricen si cada día llegan menos";"2021-03-11T13:59:25+0000";"34";"";""
"1";"15";"1";"3351196564980267_3351218861644704";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"https://www.eleconomista.es/empresas-finanzas/noticias/11097926/03/21/Dinamarca-Austria-y-otros-cuatro-paises-europeos-suspenden-la-vacunacion-con-AstraZeneca-por-muertes-causadas-por-trombos.html";"2021-03-11T14:00:50+0000";"3";"";""
"1";"16";"1";"3351196564980267_3351219508311306";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"…Policías: ""somos los únicos que tenemos la Llave para cambiar esto, NO existe tal pandemia"" ""nos están jodiendo el país"" , ""nos están jodiendo la Vida"". ""Los Policías tenemos el Poder de parar el tiempo, decir: ¡hasta aquí!"" Rafa Navarro:  “ESTE VIDEO LO DEDICO A TODOS MIS AMIGOS JEFES DE POLICÍA Y DEL GREMIO APROPOL... ALGUNA VEZ EN LA VIDA LOS HOMBRES DE HONOR TENDRÁN QUE ESTAR DEL LADO DEL PUEBLO... TODOS USTEDES SABEN MUY BIEN DE QUÉ LADO ESTOY... COMO YO SE MUY BIEN QUE USTEDES NO SE QUIEREN VACUNAR NI MUCHO MENOS QUIEREN DEJAR VACUNAR A SUS FAMILIAS... EXPONGAMOS A TODOS NUESTROS GOBERNANTES POR ALTA TRAICIÓN A LA PATRIA Y HAGAN JUSTICIA... USTEDES JURARON DEFENDER A LA GENTE DE LOS DELINCUENTES... MUCHAS GRACIAS AMIGOS... https://www.facebook.com/joyas.faberge.5/videos/3335482913241920";"2021-03-11T14:01:07+0000";"1";"";""
"1";"17";"1";"3351196564980267_3351222438311013";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"A la mierda todos";"2021-03-11T14:02:27+0000";"0";"";""
"1";"18";"1";"3351196564980267_3351224198310837";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"Fatima ArrGut lo dicen los que si entienden ";"2021-03-11T14:03:14+0000";"1";"";""
"1";"19";"1";"3351196564980267_3351224344977489";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"Vamos";"2021-03-11T14:03:19+0000";"0";"";""
"1";"20";"1";"3351196564980267_3351225614977362";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"Miguel Roque García Jiménez tiene que aclarar eso desde luego. En otros países se está investigando.";"2021-03-11T14:03:52+0000";"0";"";""
"1";"21";"1";"3351196564980267_3351228514977072";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"Elisabet Martí Durán  tiene que aclarar eso desde luego. ";"2021-03-11T14:05:02+0000";"1";"";""
"1";"22";"1";"3351196564980267_3351228661643724";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"Jose C Soler lo importante es que vengan vacunas ¿o también te parece mal?";"2021-03-11T14:05:05+0000";"5";"";""
"1";"23";"1";"3351196564980267_3351229351643655";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"⚠️ De esto no decis nada 🤣🤣https://www.eleconomista.es/empresas-finanzas/amp/11097926/Dinamarca-Austria-y-otros-cuatro-paises-europeos-suspenden-la-vacunacion-con-AstraZeneca-por-muertes-causadas-por-trombos?__twitter_impression=true";"2021-03-11T14:05:24+0000";"1";"";""
"1";"24";"1";"3351196564980267_3351229474976976";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"ha sido un lote xd que seguramente esté siendo revisado y retirado. ";"2021-03-11T14:05:29+0000";"2";"";""
"1";"25";"1";"3351196564980267_3351230041643586";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"Noelia Jurado Extremera a ver niña a ver si te enteras, no es no compren, es que no envían, compradas las tienen.";"2021-03-11T14:05:42+0000";"5";"";""
"1";"26";"1";"3351196564980267_3351230928310164";"data";"data.*";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"Jose Luis Joseluis de nada https://www.eleconomista.es/empresas-finanzas/amp/11097926/Dinamarca-Austria-y-otros-cuatro-paises-europeos-suspenden-la-vacunacion-con-AstraZeneca-por-muertes-causadas-por-trombos?__twitter_impression=true";"2021-03-11T14:06:02+0000";"1";"";""
"1";"27";"1";"164716453628310_3351196564980267";"offcut";"";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"";"";"";"";""
"1";"28";"1";"164716453628310_3351196564980267";"headers";"";"fetched (200)";"2021-08-04 12:30:26.399817";"Facebook:/<post-id>/comments";"";"";"";"";""
"1";"29";"1";"3351196564980267_3351231401643450";"data";"data.*";"fetched (200)";"2021-08-04 12:30:27.164840";"Facebook:/<post-id>/comments";"Carol Libre https://www.eleconomista.es/empresas-finanzas/amp/11097926/Dinamarca-Austria-y-otros-cuatro-paises-europeos-suspenden-la-vacunacion-con-AstraZeneca-por-muertes-causadas-por-trombos?__twitter_impression=true";"2021-03-11T14:06:18+0000";"1";"";""
"1";"30";"1";"3351196564980267_3351231781643412";"data";"data.*";"fetched (200)";"2021-08-04 12:30:27.164840";"Facebook:/<post-id>/comments";"Fatima ArrGut no soy cientifico pero listo si lo han dicho las notis tu esa te la pones ,yo las otras asi tenemos vacunas para todos solucionao lista";"2021-03-11T14:06:29+0000";"1";"";""
"1";"31";"1";"3351196564980267_3351235004976423";"data";"data.*";"fetched (200)";"2021-08-04 12:30:27.164840";"Facebook:/<post-id>/comments";"Gloria Del Pilar Adasme González II  Este comentario da mucho que pensar de la formación que puedan tener las fuerzas y cuerpo de seguridad del estado , gracias a Dios que el 99.99% tienen mucho más sentido común😔";"2021-03-11T14:07:46+0000";"2";"";""
"1";"32";"1";"3351196564980267_3351236044976319";"data";"data.*";"fetched (200)";"2021-08-04 12:30:27.164840";"Facebook:/<post-id>/comments";"Os To https://www.elmundo.es/ciencia-y-salud/salud/2021/03/11/6049eba521efa014138b459a.html";"2021-03-11T14:08:15+0000";"0";"";""
"1";"33";"1";"3351196564980267_3351236424976281";"data";"data.*";"fetched (200)";"2021-08-04 12:30:27.164840";"Facebook:/<post-id>/comments";"Jose Luis Joseluis yaveremos como he dicho esa pa ti y las otras pa mi problema solucionao precisamente gente q se laga puesto lo han pasao o estan mal lo q dicen notis";"2021-03-11T14:08:23+0000";"0";"";""
"1";"34";"1";"3351196564980267_3351236734976250";"data";"data.*";"fetched (200)";"2021-08-04 12:30:27.164840";"Facebook:/<post-id>/comments";"Miguel Roque García Jiménez pero hay alguna buena";"2021-03-11T14:08:34+0000";"2";"";""
"1";"35";"1";"3351196564980267_3351237118309545";"data";"data.*";"fetched (200)";"2021-08-04 12:30:27.164840";"Facebook:/<post-id>/comments";"Fatima ArrGut lo han dicho en las noticias, en los mayores de 65";"2021-03-11T14:08:45+0000";"0";"";""
"1";"36";"1";"3351196564980267_3351239538309303";"data";"data.*";"fetched (200)";"2021-08-04 12:30:27.164840";"Facebook:/<post-id>/comments";"Fani Salamanca si las demas si segun me han dicho esa no laquiero las demas si";"2021-03-11T14:09:31+0000";"0";"";""
"1";"37";"1";"3351196564980267_3351240684975855";"data";"data.*";"fetched (200)";"2021-08-04 12:30:27.164840";"Facebook:/<post-id>/comments";"Miguel Roque García Jiménez Te pondrán la que tengan preparada en el centro sanitario o local habilitado, si quieres elegir, puedes buscar a un sanitario vulnerable que se deje sobornar y te administre la que quieras.";"2021-03-11T14:10:02+0000";"1";"";""
"1";"38";"1";"3351196564980267_3351243514975572";"data";"data.*";"fetched (200)";"2021-08-04 12:30:27.164840";"Facebook:/<post-id>/comments";"A ver... qué pasa con la de Astrazeneca?   Qué pasa con las multas en Galicia?";"2021-03-11T14:11:09+0000";"0";"";""
"1";"39";"1";"3351196564980267_3351243708308886";"data";"data.*";"fetched (200)";"2021-08-04 12:30:27.164840";"Facebook:/<post-id>/comments";"Miguel Roque García Jiménez esta vacuna no me la pienso poner, bueno creo que ninguna... ";"2021-03-11T14:11:13+0000";"2";"";""
"1";"40";"1";"3351196564980267_3351244074975516";"data";"data.*";"fetched (200)";"2021-08-04 12:30:27.164840";"Facebook:/<post-id>/comments";"https://www.google.com/amp/s/amp.heraldo.es/noticias/nacional/2021/03/11/la-agencia-europea-del-medicamento-estudia-los-casos-de-trombos-por-la-vacuna-de-astrazeneca-y-darias-llama-a-la-prudencia-1476896.html";"2021-03-11T14:11:23+0000";"1";"";""
"1";"41";"1";"3351196564980267_3351246041641986";"data";"data.*";"fetched (200)";"2021-08-04 12:30:27.164840";"Facebook:/<post-id>/comments";"Miguel Roque García Jiménez no esta demostrado que sea a causa de la vacuna";"2021-03-11T14:12:13+0000";"1";"";""
"1";"42";"1";"3351196564980267_3351246721641918";"data";"data.*";"fetched (200)";"2021-08-04 12:30:27.164840";"Facebook:/<post-id>/comments";"Fani Salamanca una vacuna buena tarda de 6 a 8 años, así que ya me dirás... ingenuos los que creen que va a ser la solución.. ni siquiera saben cuánto protege contra el virus, ni por cuánto tiempo, no se sabe nada de nada.";"2021-03-11T14:12:29+0000";"3";"";""
"1";"43";"1";"3351196564980267_3351252931641297";"data";"data.*";"fetched (200)";"2021-08-04 12:30:27.164840";"Facebook:/<post-id>/comments";"¡Como si ustedes la fueran a repartir, ja! ";"2021-03-11T14:14:42+0000";"1";"";""
